year,circulating_supply,emission_rate,block_reward,annual_emissions,dl_weight,df_weight,compute_security_pool,domain_library_pool,data_feed_pool,pro_miners_pct,enterprise_pct,retail_pct
0.041666666666666664,4300000000.0,0.9533893814183212,7409.809024151146,77891912461.87685,0.44381465439937207,0.1561853456006279,2963.9236096604586,1973.1490987313935,694.3821499630188,36.8421052631579,47.323672812586956,15.834221924255138
0.08333333333333333,7545496352.578202,0.9164891958100114,6840.0594516266365,71902704955.4992,0.4377568371327414,0.1622431628672586,2736.0237806506548,1796.5696748063938,665.8517277791951,36.84210526315789,46.89324895416846,16.264645782673636
0.125,10541442392.390669,0.8810510291892669,6324.471065574751,66482839841.321785,0.4318239188440427,0.16817608115595728,2529.788426229901,1638.6347280913485,638.1748555155617,36.8421052631579,46.47169949681356,16.686195240028542
0.16666666666666666,13311560719.11241,0.8470660855006187,5857.297538319145,61571911722.81085,0.426013324388797,0.17398667561120296,2342.919015327658,1497.1720777401938,611.4550360546984,36.8421052631579,46.058841469730325,17.09905326711179
0.20833333333333331,15877057040.896194,0.8145159110445813,5433.433482635241,57116252769.46165,0.4203225317163871,0.17967746828361286,2173.373393054096,1370.2767104002985,585.7593433483881,36.84210526315789,45.65449567458539,17.5033990622567
0.25,18256900906.29043,0.783373995817152,5048.343058036202,53068182226.07655,0.4147490707753786,0.18525092922462139,2019.337223214481,1256.2773553655088,561.1261455275239,36.84210526315789,45.258486607724265,17.899408129117834
0.29166666666666663,20468075165.710285,0.7536072608977256,4697.996040308668,49385334375.72472,0.4092905224414092,0.1907094775585908,1879.1984161234673,1153.7071522593637,537.5714222517566,36.84210526315789,44.87064238399487,18.28725235284724
0.3333333333333333,22525797431.365482,0.7251774135237619,4378.810696747118,46030058044.2057,0.4039445174671842,0.1960554825328158,1751.5242786988472,1061.2779443865954,515.0939064423669,36.84210526315789,44.49079466214203,18.66710007470007
0.375,24443716516.540718,0.6980421604774238,4087.602845676815,42968881113.75468,0.3987087354541201,0.20129126454587987,1635.0411382707262,977.8577769830794,493.67924746057383,36.84210526315789,44.11877857174011,19.039116165101984
0.41666666666666663,26234086562.947163,0.6721562775383573,3821.540515556424,40172033899.52913,0.3935809038451905,0.20641909615480947,1528.6162062225696,902.4512221162275,473.3033634840849,36.84210526315789,43.75443264163196,19.40346209521014
0.4583333333333333,27907921308.760876,0.6474725381506337,3578.1036564557585,37613025636.66293,0.3885587969385377,0.2114412030614623,1431.2414625823035,834.1821912442994,453.9351250797736,36.8421052631579,43.397598729843466,19.760296006998637
0.5,29475130710.288498,0.6239425083113831,3355.0483948435754,35268268726.595665,0.3836402349214214,0.21635976507857857,1342.0193579374302,772.2789326223162,435.5384895213708,36.84210526315789,43.0481219549431,20.109772781899004
0.5416666666666666,30944641907.229984,0.601517217251058,3150.375360989682,33116745794.723537,0.3788230829240852,0.2211769170759148,1260.150144395873,716.0609439709134,418.074185985372,36.8421052631579,42.705850628816584,20.452044108025525
0.5833333333333333,32324506315.343464,0.5801477149845651,2962.301656375756,31139715011.821945,0.3741052500931298,0.2258947499068702,1184.9206625503025,664.9275612058468,401.5010350894252,36.84210526315789,42.370636190827646,20.78725854601446
0.625,33621994440.836044,0.5597855284993984,2789.2360657991844,29320449523.681026,0.36948468868399253,0.23051531131600744,1115.6944263196738,618.3480116627854,385.7769720249209,36.84210526315789,42.04233314333631,21.115561593505795
0.6666666666666666,34843679837.65609,0.5403830284172861,2629.7571548717347,27644007212.011677,0.36495939317213677,0.2350406068278632,1051.902861948694,575.8527452592439,370.85983049458054,36.8421052631579,41.72079898854656,21.437095748295544
0.7083333333333333,35995513471.48991,0.5218937175952663,2482.5939279686586,26097027370.80654,0.360527399382567,0.23947260061743297,993.0375711874635,537.0258795440953,356.70793452462163,36.8421052631579,41.405894166656076,21.752000570186027
0.75,37082889611.94018,0.5042724524645694,2346.6087540779104,24667551222.866993,0.35618678363729167,0.2438132163627083,938.6435016311642,501.498614742074,343.2805367259738,36.8421052631579,41.09748199528126,22.060412741560857
0.7916666666666666,38110704246.2263,0.48747560705535886,2220.78229823292,23344863519.024452,0.3519356619203632,0.2480643380796368,888.312919293168,468.94349286577676,330.53813449807427,36.8421052631579,40.79542861013107,22.362466126711034
0.8333333333333333,39083406892.852325,0.4714611887097171,2104.2002241729415,22119352756.505962,0.34777218906013313,0.25222781093986685,841.6800896691766,439.06939090886806,318.44268979339085,36.8421052631579,40.4996029069042,22.65829182993791
0.875,40005046591.04008,0.45618891350889945,1996.0414595249124,20982387822.52588,0.3436945579283676,0.25630544207163236,798.416583809965,411.61715222286506,306.95777320610335,36.8421052631579,40.20987648438402,22.948018252458088
0.9166666666666666,40879312750.31199,0.44162024847965714,1895.5678381640141,19926209114.780117,0.3397009986558749,0.2602990013441251,758.2271352656057,386.355772586564,296.048649152481,36.84210526315789,39.92612358870689,23.2317711481352
0.9583333333333333,41709571463.427826,0.4277184267292429,1802.1149555580873,18943832412.826614,0.3357897778643054,0.26421022213569456,720.845982223235,363.07906836767563,285.6823156332357,36.8421052631579,39.648221058779605,23.509673678062505
1.0,42498897813.962265,0.4144484408088172,1715.0840919395328,18028963974.46837,0.33195919791379,0.26804080208620995,686.0336367758132,341.6027637089689,275.82750938926284,36.8421052631579,39.376048272821926,23.78184646402018
1.0416666666666665,43250104646.23178,0.40177701883094474,1633.9350752066068,17175925510.571852,0.3282075961660905,0.27179240383390946,653.5740300826428,321.7619419950124,266.45468507936596,36.8421052631579,39.1094870960117,24.048407640830412
1.0833333333333333,43965768209.17227,0.3896725871729051,1558.1799706770753,16379587851.757416,0.3245333442629425,0.2754666557370575,623.2719882708302,303.40881410841894,257.5359753353281,36.84210526315789,38.848421829209066,24.309472907633026
1.125,44648251036.32883,0.3781052229834133,1487.3774983507437,15635312262.66302,0.3209348474192769,0.27906515258072306,594.9509993402975,286.41076229283703,249.04513711343068,36.84210526315789,38.5927391587381,24.565155578104005
1.1666666666666665,45299722380.60645,0.3670465991728194,1421.1280903337151,14938898485.588015,0.3174105437310141,0.28258945626898585,568.4512361334861,270.64862391854535,240.95748860159205,36.84210526315789,38.342328107203635,24.815566629638464
