year,circulating_supply,emission_rate,block_reward,annual_emissions,wk_weight,wp_weight,compute_security_pool,knowledge_vault_pool,personal_data_pool,pro_miners_pct,enterprise_pct,retail_pct,pro_miners_tokens,enterprise_tokens,retail_tokens,pro_miners_compute,enterprise_compute,retail_compute,enterprise_kv,retail_kv,retail_pdp
0.0833333333333333,4300000000.0,0.9533893814183212,1234.9681706918577,77891912461.87685,0.2918378914218276,0.1081621085781723,679.2324938805217,405.4618202712564,150.27385654007955,38.5,46.048586506460055,15.451413493539953,475.46274571636513,568.6853864082873,190.82003856720522,475.46274571636513,203.7697481641565,0.0,364.9156382441308,40.54618202712564,150.27385654007955
0.1666666666666666,10790992705.156404,0.8780380030888544,1046.999723799143,66036366579.45955,0.2840088829258647,0.1159911170741353,575.8498480895287,334.5268747273689,136.62300098224546,38.5,45.2558993962438,16.244100603756202,403.0948936626701,473.8291416814906,170.0756884549824,403.0948936626701,172.7549544268586,0.0,301.0741872546321,33.45268747273689,136.62300098224546
0.25,16294023253.444698,0.8091260417137823,894.2307370740303,56400921048.733246,0.2764993805169191,0.1235006194830808,491.8269053907168,278.1610254451771,124.24280623813664,38.49999999999999,44.49556227733807,17.004437722661944,344.2788337735017,397.8929945178744,152.05890878265436,344.2788337735017,147.54807161721502,0.0,250.3449229006594,27.81610254451771,124.24280623813664
0.3333333333333333,20994100007.505802,0.7464067270312478,769.292888304132,48520841051.11821,0.2692963449781228,0.1307036550218772,423.11108856727265,233.06373341771177,113.11806631914762,38.49999999999999,43.766254929034936,17.733745070965064,296.1777619970908,336.6906866461224,136.4244396609188,296.1777619970908,126.93332657018178,0.0,209.75736007594062,23.306373341771177,113.11806631914762
0.4166666666666666,25037503428.43232,0.6895163138997418,666.454780602375,42034635922.15299,0.262387269230127,0.137612730769873,366.55012933130627,196.72790619107315,103.1767450799956,38.50000000000001,43.06671100955036,18.433288990449643,256.5850905319144,287.0201543713577,122.84953569910292,256.5850905319144,109.96503879939189,0.0,177.0551155719658,19.672790619107314,103.1767450799956
0.5,28540389755.2784,0.6380250949570115,581.2511618877056,36660673282.58137,0.255760156614281,0.144239843385719,319.6881390382381,167.2434992212114,94.31952362825612,38.50000000000001,42.395715857195945,19.10428414280405,223.7816973267667,246.4255910105617,111.04387355037726,223.7816973267667,95.90644171147144,0.0,150.5191492990903,16.724349922121142,94.31952362825612
0.5833333333333333,31595445862.160183,0.5914756420606357,510.19420011576335,32178968589.70142,0.2494035000620865,0.1505964999379135,280.60681006366985,143.14974662277896,86.43764342931453,38.49999999999999,41.75210438128626,19.74789561871374,196.42476704456888,213.016814979602,100.75261809159244,196.42476704456888,84.18204301910096,0.0,128.83477196050106,14.314974662277898,86.43764342931453
0.6666666666666666,34277026577.96863,0.5494096591976566,450.55018392452604,28417101200.487705,0.2433062621147578,0.1566937378852421,247.80260115848935,123.3243912890172,79.42319147701949,38.50000000000001,41.13475903911923,20.36524096088077,173.46182081094253,185.3327325076623,91.75563060592121,173.46182081094253,74.3407803475468,0.0,110.99195216011549,12.33243912890172,79.42319147701949
0.75,36645118344.67594,0.5113855851290331,400.1676660686529,25239375034.282074,0.2374578557581944,0.1625421442418055,220.0922163377591,106.90082541947643,73.17462431141738,38.49999999999999,40.542607895517186,20.957392104482818,154.06455143643134,162.23840777885653,83.86470685336504,154.06455143643134,66.02766490132773,0.0,96.21074287752879,10.69008254194764,73.17462431141738
0.8333333333333333,38748399597.53278,0.4769891701970321,357.34559973450325,22538501666.454586,0.2318481260400887,0.1681518739599112,196.5400798539768,93.20614610300574,67.59937377752073,38.5,39.97462276155899,21.525377238441017,137.57805589778377,142.84755544889822,76.91998838782129,137.57805589778377,58.96202395619304,0.0,83.88553149270516,9.320614610300572,67.59937377752073
