year,circulating_supply,emission_rate,block_reward,annual_emissions,wk_weight,wp_weight,compute_security_pool,knowledge_vault_pool,personal_data_pool,pro_miners_pct,enterprise_pct,retail_pct
1.6666666666666665,51290891321.726265,0.2656142203190312,146.16997779598236,9219232839.548199,0.2803794625521234,0.31962053744787655,58.467991118392945,40.98305981569335,46.718926861896065,27.999999999999996,37.23415162969111,34.76584837030889
1.7083333333333333,51675026023.37411,0.2592015171643835,141.06236255976367,8897085331.369413,0.2776913224350934,0.32230867756490655,56.42494502390547,39.17179400503939,45.46562353081882,27.999999999999996,36.992219019158405,35.00778098084159
1.75,52045737912.18117,0.2530329677169086,136.21809523589732,8591547702.718515,0.27505860590355247,0.3249413940964475,54.48723809435893,37.46795937442326,44.262897767115135,27.999999999999996,36.75527453131973,35.24472546868028
1.7916666666666665,52403719066.461105,0.24709670884074764,131.6199018259548,8301530447.966621,0.2724801702440652,0.3275198297559348,52.647960730381925,35.863813257043304,43.10812783852956,28.000000000000004,36.523215321965864,35.47678467803413
1.8333333333333333,52749616168.45972,0.24138154486267277,127.25185528497637,8026029016.53403,0.2699548963034542,0.33004510369654577,50.90074211399055,34.35226139787796,41.998851773107866,28.000000000000004,36.29594066731088,35.70405933268912
1.875,53084034044.148636,0.23587690733382644,123.09925563755293,7764116251.571738,0.2674816880030397,0.3325183119969603,49.23970225502117,32.926796689850356,40.9327566926814,28.000000000000004,36.07335192027357,35.926648079726434
1.9166666666666665,53407538887.96413,0.2305728171304594,119.1485219402755,7514935575.817057,0.2650594718628932,0.3349405281371068,47.659408776110205,31.581444298733768,39.90766886543153,28.000000000000004,35.85535246766039,36.144647532339604
1.9583333333333333,53720661203.62317,0.2254598487980809,115.38709481756004,7277694844.333147,0.2626871965359008,0.3373128034640992,46.15483792702402,30.31071245404701,38.92154443648901,28.000000000000004,35.641847688231074,36.358152311768926
2.0,54023898488.80372,0.22052909703827692,111.80334844413365,7051660793.0683975,0.2603638323514327,0.3396361676485673,44.721339377653464,29.109548270637223,37.972460795842956,28.000000000000004,35.432744911628944,36.567255088371056
2.0416666666666665,54317717688.5149,0.21577214523470833,108.38651097603999,6836154020.280794,0.25808837086842146,0.3419116291315785,43.354604390416,27.97329804191844,37.058608543705546,20.000000000000004,36.066185960789504,43.933814039210496
2.083333333333333,54602557439.35993,0.21118103591395557,105.1265925451054,6630544445.004888,0.25585982443765465,0.34414017556234533,42.05063701804216,26.897671512319523,36.17828401474372,20.0,35.910187710635824,44.089812289364176
2.125,54878830124.56847,0.20674824303751702,102.01432003135419,6434247193.017571,0.2536772257730924,0.3463227742269076,40.80572801254168,25.878709694682335,35.329882324130175,20.0,35.757405804116466,44.242594195883534
2.1666666666666665,55146923757.61086,0.2024666460230367,99.04107791554993,6246718866.289565,0.25153962753202264,0.34846037246797734,39.616431166219975,24.912755849247464,34.5118909000825,20.0,35.60777392724159,44.39222607275842
2.208333333333333,55407203710.372925,0.19832950539546815,96.19885459135672,6067454156.786051,0.249446101903874,0.35055389809612597,38.479541836542694,23.996429285431525,33.7228834693825,20.000000000000004,35.46122713327118,44.53877286672882
2.25,55660014300.23901,0.19433043997213012,93.48019358483461,5895982769.782688,0.24739574020750493,0.35260425979249505,37.39207743393384,23.126601686661015,32.961514464239755,20.0,35.31770181452534,44.68229818547466
2.2916666666666665,55905680248.97996,0.1904634054893095,90.87814918923559,5731866625.663466,0.24538765249679695,0.35461234750320303,36.35125967569424,22.300375692800213,32.22651382074114,20.0,35.17713567477579,44.82286432522422
2.333333333333333,56144508025.04927,0.18672267458204891,88.38624607632067,5574697312.525698,0.24342096717437933,0.35657903282562065,35.354498430528274,21.515065504810668,31.516682140981732,20.0,35.03946770220656,44.960532297793435
2.375,56376787079.73784,0.18310281803292727,85.99844249253904,5424093764.889422,0.24149483061331778,0.3585051693866822,34.399376997015615,20.76817930274487,30.830886192778557,20.0,34.90463814293224,45.09536185706775
2.4166666666666665,56602790986.60823,0.17959868720988267,83.70909669012704,5279700146.4396925,0.2396084067866035,0.3603915932133965,33.483638676050816,20.057403291467086,30.16805472260914,20.0,34.77258847506224,45.22741152493776
2.458333333333333,56822778492.709885,0.17620539761738743,81.5129362801662,5141183917.062643,0.23776087690428085,0.36223912309571915,32.60517451206648,19.380587209015083,29.527174559084635,20.0,34.64326138329966,45.35673861670034
2.5,57036994489.25416,0.17291831348949308,79.40503022743951,5008234066.505065,0.23595143905805702,0.36404856094194293,31.762012090975805,18.735731150612867,28.90728698585083,20.0,34.51660073406399,45.483399265936
2.5416666666666665,57245670908.69187,0.16973303335738468,77.38076323605118,4880559498.82422,0.23417930787323904,0.36582069212676094,30.952305294420473,18.120973577321447,28.30748436430926,20.0,34.39255155112673,45.607448448873264
2.583333333333333,57449027554.47621,0.16664537652808645,75.43581230066167,4757887553.427333,0.2324437141678469,0.36755628583215305,30.174324920264667,17.53458039243435,27.72690698796265,20.0,34.27105999174928,45.72894000825071
2.625,57647272869.20235,0.16365137041481306,73.56612522121206,4639962649.952287,0.23074390461875516,0.3692560953812448,29.426450088484827,16.97493498121475,27.164740151512483,20.0,34.15207332331286,45.84792667668714
