year,circulating_supply,emission_rate,block_reward,annual_emissions,dl_weight,df_weight,compute_security_pool,domain_library_pool,data_feed_pool,pro_miners_pct,enterprise_pct,retail_pct
2.833333333333333,58568415179.05683,0.14996019211181058,391.328551149169,4113645729.6800647,0.2227563223906946,0.3772436776093054,156.53142045966763,87.17090890046771,147.62622178903368,20.000000000000004,33.59294256734863,46.40705743265138
2.875,58739817084.46017,0.14745491351183415,382.3865976148882,4019647914.127705,0.22125624572863745,0.37874375427136253,152.9546390459553,84.60542300521732,144.82653556371562,20.0,33.48793720100461,46.51206279899537
2.9166666666666665,58907302414.215485,0.14502039487956145,373.76271901094094,3928993702.2430115,0.2197870973751878,0.38021290262481217,149.50508760437637,82.14822311847264,142.10940828809194,20.0,33.38509681626315,46.61490318373686
2.958333333333333,59071010485.14227,0.14265395770160097,365.4420596650847,3841526931.1993704,0.2183482396560871,0.3816517603439129,146.17682386603389,79.79363042416598,139.4716053748848,20.0,33.2843767759261,46.7156232240739
3.0,59231074107.27558,0.14035304774379095,357.41061014759816,3757100333.871552,0.21693904804452893,0.3830609519554711,142.96424405903926,77.5363175264342,136.9100485621247,20.0,33.18573336311702,46.81426663688298
3.0416666666666665,59387619954.52023,0.13811522835345968,349.6551509713177,3675574947.010492,0.21555891089008744,0.38444108910991254,139.86206038852708,75.37128353048635,134.42180705230427,20.0,33.08912376230612,46.91087623769387
3.083333333333333,59540768910.64567,0.1359381741650748,342.16320054210536,3596819564.0986114,0.21420722915323426,0.3857927708467657,136.86528021684214,73.2938311063268,132.0040892189364,20.0,32.99450604072639,47.0054939592736
3.125,59690636392.48311,0.13381966518301347,334.92296700305076,3520710229.13607,0.21288341614532935,0.3871165838546706,133.9691868012203,71.29954536113887,129.6542348406916,20.0,32.90183913017305,47.098160869826955
3.1666666666666665,59837332652.03044,0.13175758121697037,327.9233036484663,3447129767.9526777,0.21158689727397278,0.3884131027260272,131.1693214593865,69.38427436280983,127.36970782626996,19.999999999999996,32.81108280917809,47.188917190821904
3.208333333333333,59980963059.02847,0.12974989664718448,321.1536676132354,3375967353.9503307,0.21031710979360646,0.3896828902063935,128.46146704529417,67.54411117203223,125.14808939590903,20.000000000000004,32.72219768555246,47.277802314447555
